,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,url
I Want You Back,2vtJ4rBe0LTbbMeaNaEMey,0.757,0.528,-4.92,0.0381,0.814,3.05e-06,0.0765,0.839,100.958,7,1,https://open.spotify.com/track/2vtJ4rBe0LTbbMeaNaEMey
Love Me Now - Recorded at Spotify Studios NYC,2pPRgFEENF3LtuxYUPuT24,0.508,0.233,-8.311,0.0535,0.975,0.0,0.111,0.421,85.543,8,1,https://open.spotify.com/track/2pPRgFEENF3LtuxYUPuT24
How Good It Is,5VKrO93IhbQt0iAI5rBHwm,0.646,0.392,-5.992,0.0274,0.578,6.16e-05,0.0991,0.236,113.17,0,1,https://open.spotify.com/track/5VKrO93IhbQt0iAI5rBHwm
The Keeper - Acoustic,7utqggka2396GeGAjJzVkQ,0.385,0.407,-8.023,0.0279,0.356,0.0,0.0584,0.32,101.982,0,1,https://open.spotify.com/track/7utqggka2396GeGAjJzVkQ
Million Ways - Acoustic,5FSKs0RvnbgxdDHnGSqLuX,0.666,0.443,-6.431,0.0344,0.715,0.0,0.129,0.801,98.146,3,0,https://open.spotify.com/track/5FSKs0RvnbgxdDHnGSqLuX
Cheerleader - Acoustic Version,2jzGffURw5jHtJnRX5Q5Ub,0.817,0.44,-9.586,0.0345,0.703,0.0,0.148,0.965,117.981,4,1,https://open.spotify.com/track/2jzGffURw5jHtJnRX5Q5Ub
Ain't Nobody (Loves Me Better) - Acoustic,1OozJMmjaGAgX8WPTTMpcG,0.512,0.245,-8.828,0.0338,0.851,0.0,0.131,0.266,93.971,2,0,https://open.spotify.com/track/1OozJMmjaGAgX8WPTTMpcG
Use Somebody - Acoustic Version,55KKAV2VnlggBrVS0J666s,0.57,0.271,-11.334,0.0304,0.82,3.27e-06,0.108,0.273,125.862,0,1,https://open.spotify.com/track/55KKAV2VnlggBrVS0J666s
Solo Dance - Acoustic Mix,5PUqb7aCQHByJ0waXwdxkw,0.689,0.52,-10.07,0.0269,0.111,0.0,0.0912,0.609,108.98,6,0,https://open.spotify.com/track/5PUqb7aCQHByJ0waXwdxkw
All That Matters - Acoustic,5tAkpRX2FCx8XWQOzb0zBL,0.555,0.453,-7.566,0.0509,0.425,0.0,0.365,0.636,72.776,9,1,https://open.spotify.com/track/5tAkpRX2FCx8XWQOzb0zBL
You Are The Reason,2d3NAGCKudIYpTlRI6BI0s,0.363,0.233,-7.697,0.0299,0.908,0.0,0.134,0.246,171.767,10,1,https://open.spotify.com/track/2d3NAGCKudIYpTlRI6BI0s
Wonderful Life,0cqLFzFYsQurUI3McUZkLg,0.904,0.341,-12.088,0.0417,0.792,0.021,0.0977,0.447,105.179,6,0,https://open.spotify.com/track/0cqLFzFYsQurUI3McUZkLg
Superheroes - Acoustic Live Lounge,24vgjLEHHAmAu2vNax3Y3d,0.613,0.544,-4.927,0.0322,0.612,0.0,0.103,0.705,82.985,3,1,https://open.spotify.com/track/24vgjLEHHAmAu2vNax3Y3d
Stay With Me - Live From Spotify Berlin,6itWAD2WxmAVQgWuk85yXx,0.614,0.106,-22.097,0.0413,0.838,0.0509,0.708,0.169,75.89,0,1,https://open.spotify.com/track/6itWAD2WxmAVQgWuk85yXx
T-Shirts - Acoustic,27hauwRp0G2YflSJfkmD3o,0.378,0.254,-9.021,0.0353,0.844,0.0,0.111,0.373,78.978,7,1,https://open.spotify.com/track/27hauwRp0G2YflSJfkmD3o
For Seasons to Come,6SFNnkr1O5SMHkJslzsdST,0.433,0.217,-13.395,0.0368,0.89,0.0,0.111,0.328,107.156,6,1,https://open.spotify.com/track/6SFNnkr1O5SMHkJslzsdST
Tenerife Sea,1HbcclMpw0q2WDWpdGCKdS,0.53,0.346,-10.497,0.0376,0.697,1.07e-05,0.105,0.359,121.876,8,1,https://open.spotify.com/track/1HbcclMpw0q2WDWpdGCKdS
Your Song - Acoustic,19TkHF0HPSjDtCIFJzE6qF,0.512,0.098,-16.191,0.0354,0.873,0.0,0.162,0.612,175.507,9,1,https://open.spotify.com/track/19TkHF0HPSjDtCIFJzE6qF
Just Another Love Song,18ilkcj9CgkhlgFtiqEka1,0.827,0.353,-9.478,0.0451,0.237,0.0,0.135,0.568,111.927,2,1,https://open.spotify.com/track/18ilkcj9CgkhlgFtiqEka1
Mess Her Up - Acoustic,6QyG7bJsXhb6MHuzzDaVBZ,0.558,0.463,-8.401,0.0274,0.505,0.000294,0.129,0.335,149.929,7,1,https://open.spotify.com/track/6QyG7bJsXhb6MHuzzDaVBZ
Happy Now - Acoustic,3aXsAIpsE1VR9FNvW0V4rU,0.699,0.109,-16.97,0.0438,0.935,0.0,0.152,0.54,100.005,1,1,https://open.spotify.com/track/3aXsAIpsE1VR9FNvW0V4rU
Back To You,3y3nLykfrbL6zCLmfMNQVg,0.667,0.24,-8.654,0.0324,0.695,0.0,0.115,0.357,139.983,1,1,https://open.spotify.com/track/3y3nLykfrbL6zCLmfMNQVg
You Make Me Wanna / Where My Girls At,3lM5SO52u63e3LM3S6Uhec,0.791,0.377,-11.439,0.0878,0.734,0.0,0.115,0.963,90.972,1,0,https://open.spotify.com/track/3lM5SO52u63e3LM3S6Uhec
Rockabye - Acoustic Version,30LDuVfrePWbedYTc1mUCn,0.528,0.291,-9.696,0.0401,0.914,0.0,0.121,0.355,76.805,10,1,https://open.spotify.com/track/30LDuVfrePWbedYTc1mUCn
Recognise - Acoustic Version,3InsMHQ7uECgOSGAe5ycXq,0.737,0.591,-5.469,0.0481,0.811,0.0,0.114,0.657,102.86,1,1,https://open.spotify.com/track/3InsMHQ7uECgOSGAe5ycXq
Adventure Of A Lifetime Cover,77nOGknpMSLeoHrytU9JwN,0.748,0.538,-10.771,0.0642,0.27,0.0,0.157,0.329,112.232,7,1,https://open.spotify.com/track/77nOGknpMSLeoHrytU9JwN
In My Blood - Acoustic,6Pce5yn5oOSDB6hZm8Ou2U,0.57,0.519,-5.671,0.0309,0.733,0.0,0.139,0.24,139.701,5,1,https://open.spotify.com/track/6Pce5yn5oOSDB6hZm8Ou2U
Cool - Acoustic,6F4nOE5Z6Il1fM8h3zkAlW,0.596,0.369,-5.67,0.0311,0.746,0.0,0.145,0.57,150.037,8,1,https://open.spotify.com/track/6F4nOE5Z6Il1fM8h3zkAlW
One Dance,1cytFHPioxHjiepRrzfsFO,0.708,0.484,-8.954,0.0389,0.475,2.31e-05,0.128,0.408,95.02,9,0,https://open.spotify.com/track/1cytFHPioxHjiepRrzfsFO
Heartbeats,11X4Gw3T4hoktVruLgTnm1,0.554,0.15,-16.746,0.0338,0.974,0.735,0.0698,0.314,87.956,3,1,https://open.spotify.com/track/11X4Gw3T4hoktVruLgTnm1
Bruises,3BxzQaXrfoWo1lYLZjJqyD,0.572,0.319,-6.206,0.0685,0.963,0.0,0.161,0.359,110.922,4,1,https://open.spotify.com/track/3BxzQaXrfoWo1lYLZjJqyD
Feel This Moment,7tTMZYsZKvUD9X2xu6gn9k,0.724,0.437,-11.686,0.0427,0.625,0.0117,0.118,0.51,136.147,7,1,https://open.spotify.com/track/7tTMZYsZKvUD9X2xu6gn9k
King - Acoustic,18TnUUkpaeoOLdPclt3sPM,0.467,0.18,-8.784,0.0419,0.955,2.1e-06,0.106,0.309,99.302,2,1,https://open.spotify.com/track/18TnUUkpaeoOLdPclt3sPM
Only Want You - Live from Spotify Studios NYC,04RaThB20KTtI8wwXASw3L,0.473,0.359,-6.126,0.0537,0.775,0.0,0.0997,0.733,82.37,10,0,https://open.spotify.com/track/04RaThB20KTtI8wwXASw3L
A Thousand Ways (Acoustic),4laBgbIXVtNbYkRMByKtFn,0.646,0.296,-5.029,0.0464,0.153,0.0,0.204,0.47,121.889,7,1,https://open.spotify.com/track/4laBgbIXVtNbYkRMByKtFn
All The Fucking Time - Acoustic,5fPehuzkcZkDFFCwf3fRrc,0.623,0.355,-7.328,0.0388,0.731,0.0,0.098,0.647,159.965,6,1,https://open.spotify.com/track/5fPehuzkcZkDFFCwf3fRrc
Beyond Words,6wxW1rAaVFpK5296S7rp2b,0.503,0.484,-9.69,0.054,0.947,0.96,0.0958,0.458,82.414,0,1,https://open.spotify.com/track/6wxW1rAaVFpK5296S7rp2b
Blank Space/Stand By Me - Live From Spotify London,3Dbgo1HE3DErIBNDIO4Hyd,0.774,0.553,-6.815,0.0823,0.379,0.0,0.739,0.514,102.055,9,1,https://open.spotify.com/track/3Dbgo1HE3DErIBNDIO4Hyd
Most Girls - Acoustic,2vwfLDovGdUv36zwtcoQD5,0.897,0.266,-8.83,0.0759,0.501,0.0,0.129,0.755,102.959,9,1,https://open.spotify.com/track/2vwfLDovGdUv36zwtcoQD5
Desafinado,2GW4RDBkjLWUDjumnHB3K1,0.517,0.425,-9.217,0.033,0.74,0.0,0.126,0.736,82.527,4,1,https://open.spotify.com/track/2GW4RDBkjLWUDjumnHB3K1
Corcovado,42h9Y1WHuG59vNUDihuJsE,0.452,0.182,-21.331,0.0499,0.837,0.000182,0.973,0.248,130.993,0,1,https://open.spotify.com/track/42h9Y1WHuG59vNUDihuJsE
Samba Da Benção,2dA7eKXUzw1Ndc78kKRefH,0.646,0.425,-11.642,0.0608,0.623,0.0,0.12,0.59,125.479,5,0,https://open.spotify.com/track/2dA7eKXUzw1Ndc78kKRefH
Manha de Carnaval,2LFcZ1nrrMPmGOvuEwAK23,0.737,0.323,-17.345,0.0452,0.672,0.854,0.131,0.844,116.734,9,0,https://open.spotify.com/track/2LFcZ1nrrMPmGOvuEwAK23
Chega de Saudade,0QhoniumuDQIQY46aIebRq,0.418,0.248,-15.956,0.0341,0.705,0.0,0.193,0.654,176.634,2,1,https://open.spotify.com/track/0QhoniumuDQIQY46aIebRq
Água de Beber,1IkE3IsuP4HNU073wsE6T5,0.781,0.477,-9.463,0.0818,0.776,0.0346,0.0954,0.375,150.147,11,0,https://open.spotify.com/track/1IkE3IsuP4HNU073wsE6T5
Tarde em itapuã,1Qwzw8hbVa28uXYxHeamaT,0.457,0.522,-13.342,0.0373,0.709,0.00993,0.0981,0.731,160.199,5,0,https://open.spotify.com/track/1Qwzw8hbVa28uXYxHeamaT
Águas De Março,1zKgDX6cFrdPkNF5Z04snQ,0.642,0.339,-15.503,0.14,0.854,0.0,0.105,0.491,143.418,3,1,https://open.spotify.com/track/1zKgDX6cFrdPkNF5Z04snQ
Pela luz dos olhos teus,6tyYK7y3kboS7GQulNtwo5,0.444,0.233,-13.834,0.0547,0.894,0.0,0.118,0.775,116.891,9,1,https://open.spotify.com/track/6tyYK7y3kboS7GQulNtwo5
O Barquinho,2oBiFDhFwbEHYaGOf1Mfrb,0.676,0.173,-18.268,0.0623,0.868,0.229,0.102,0.529,144.561,4,1,https://open.spotify.com/track/2oBiFDhFwbEHYaGOf1Mfrb
O Morro Nao Tem Vez,57U0iv9L9gG6fqXXIle1GB,0.654,0.315,-17.204,0.0427,0.45,0.791,0.0893,0.852,143.248,7,0,https://open.spotify.com/track/57U0iv9L9gG6fqXXIle1GB
Carta Ao Tom 74,5DHsGfjaxIpt0v0dPGaWdI,0.593,0.431,-8.284,0.268,0.821,0.00037,0.0841,0.557,73.059,7,1,https://open.spotify.com/track/5DHsGfjaxIpt0v0dPGaWdI
Só Tinha De Ser Com Você,2MTrACUycdhqhQ9dYpxWJb,0.797,0.285,-19.409,0.0553,0.5,0.328,0.12,0.539,120.063,5,1,https://open.spotify.com/track/2MTrACUycdhqhQ9dYpxWJb
Bluchanga,1zxMcomnqXDoPipY4ACR8t,0.76,0.576,-9.704,0.049,0.0581,0.901,0.107,0.796,82.015,1,1,https://open.spotify.com/track/1zxMcomnqXDoPipY4ACR8t
A Tonga Da Mironga Do Kabuletê,1xgiVKlkBQsBeDfImpQXYM,0.742,0.222,-16.775,0.0436,0.976,0.561,0.0926,0.582,141.967,7,1,https://open.spotify.com/track/1xgiVKlkBQsBeDfImpQXYM
Agua De Beber,4SSADZr3VsQeoqNbjLXw8W,0.645,0.357,-15.628,0.0356,0.426,0.0,0.0727,0.86,147.846,4,0,https://open.spotify.com/track/4SSADZr3VsQeoqNbjLXw8W
Insensatez,6NAsiy8bVS2hx95ofthfSV,0.495,0.223,-13.857,0.0306,0.95,0.101,0.119,0.217,76.924,5,1,https://open.spotify.com/track/6NAsiy8bVS2hx95ofthfSV
Desde Que O Samba E Samba,1SL9baz3WrN29MAkeyvaHn,0.618,0.153,-16.856,0.0415,0.928,0.00558,0.134,0.324,136.361,2,1,https://open.spotify.com/track/1SL9baz3WrN29MAkeyvaHn
Samba De Uma Nota Só,1CKhZVUyHhXKtN6Bo68xqq,0.64,0.355,-14.536,0.066,0.946,0.526,0.059,0.518,83.459,7,1,https://open.spotify.com/track/1CKhZVUyHhXKtN6Bo68xqq
Garota De Ipanema,13phYi072bj5ibxBx4VhQC,0.623,0.609,-11.246,0.0399,0.656,0.000101,0.166,0.794,81.191,0,1,https://open.spotify.com/track/13phYi072bj5ibxBx4VhQC
Rio,1cCKsJZbWUZbAkdrn2qviQ,0.627,0.391,-13.676,0.0391,0.86,0.0938,0.0756,0.775,169.961,4,0,https://open.spotify.com/track/1cCKsJZbWUZbAkdrn2qviQ
Gente Humilde,24OF9ihv97VwNXQZ2gGy8v,0.356,0.323,-8.165,0.0293,0.633,0.000652,0.592,0.212,130.02,5,1,https://open.spotify.com/track/24OF9ihv97VwNXQZ2gGy8v
Samba De Verao,18jzP0rBaHJ2gjVhZ5OvKn,0.731,0.299,-17.199,0.0485,0.889,0.223,0.11,0.46,119.768,5,1,https://open.spotify.com/track/18jzP0rBaHJ2gjVhZ5OvKn
Samba de Orfeu,0yO7Rg00ZJiMMb8pHiBojc,0.715,0.406,-17.926,0.0573,0.735,0.649,0.11,0.65,104.756,4,0,https://open.spotify.com/track/0yO7Rg00ZJiMMb8pHiBojc
A Rã,0vZwdJBXOGppAMLjwDUNWg,0.715,0.785,-11.396,0.057,0.823,0.0133,0.0817,0.819,99.535,10,0,https://open.spotify.com/track/0vZwdJBXOGppAMLjwDUNWg
Sorriu Para Mim,0x3svf6lgzCE0AUh8Dqk3D,0.534,0.293,-15.647,0.0398,0.729,0.111,0.169,0.571,90.59,4,0,https://open.spotify.com/track/0x3svf6lgzCE0AUh8Dqk3D
Bim Bom,2v9LGwYybWMNhO0xZXpo6M,0.58,0.49,-14.743,0.0439,0.534,0.00286,0.0951,0.845,92.462,0,1,https://open.spotify.com/track/2v9LGwYybWMNhO0xZXpo6M
O pato,6u6E9DZgzyyo1oFofn7zIs,0.683,0.313,-15.999,0.0692,0.75,0.0,0.0659,0.93,174.856,2,1,https://open.spotify.com/track/6u6E9DZgzyyo1oFofn7zIs
